Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Legune Station,NT,AAM INVESTMENT GROUP,Na,AAM Investment Group,https://www.aamig.com.au/investmentopportunities/funds-under-management/,,,,,,,,
Sunshine Aggregation,NSW,AAM INVESTMENT GROUP,Na,AAM Investment Group,https://www.afr.com/property/commercial/lachlan-valley-a-rural-hotspot-as-fund-manager-snaps-up-aggregation-20200214-p540wh,"Also called ""Sunshine Farm"" https://www.aamig.com.au/investmentopportunities/funds-under-management/",,,,,,,
Terrick Terrick,QLD,AAM INVESTMENT GROUP,Na,AAM Investment Group,https://www.beefcentral.com/property/terrick-purchase-to-provide-beef-foundation-for-aams-new-investment-fund/,https://twitter.com/AAMInvestments/status/1248088004511404032?s=20,,,,,,,
Brindley Park,NSW,AAAW GROUP,pinnaclefinefoods.com.au,AAAW Group,https://pinnaclefinefoods.com.au/brindley-park/,,,,,,,,
Calthorpe Orchard,TAS,AAAW GROUP,pinnaclefinefoods.com.au,AAAW Group,https://pinnaclefinefoods.com.au/calthorpe-orchard/,,,,,,,,
Clear Hills,NSW,AAAW GROUP,pinnaclefinefoods.com.au,AAAW Group,https://pinnaclefinefoods.com.au/clear-hills/,,,,,,,, 
Glenrock Station,NSW,AAAW GROUP,pinnaclefinefoods.com.au,AAAW Group,https://pinnaclefinefoods.com.au/glenrock-station/,,,, ,,,,
Millers Orchard,TAS,AAAW GROUP,pinnaclefinefoods.com.au,AAAW Group,https://pinnaclefinefoods.com.au/millers-orchard/,,,,,,,,
Oak Park,QLD,AAAW GROUP,pinnaclefinefoods.com.au,AAAW Group,https://pinnaclefinefoods.com.au/oak-park/,,,,,,,,
Kuro Kin Wagyu,NSW,AAAW GROUP,pinnaclefinefoods.com.au,AAAW Group,https://pinnaclefinefoods.com.au/kuro-kin-wagyu/,,,,,,,,
Balboora Farm,NSW,ACE FARMING-MERRICKS CAPITAL,Na,,https://www.afr.com/property/ace-farming-brings-in-us-investor-for-new-deals-as-dairy-sector-consolidates-20170615-gws0wi,,,,,,,,
Blighty Farm,NSW,ACE FARMING-MERRICKS CAPITAL,Na,,https://www.afr.com/property/ace-farming-brings-in-us-investor-for-new-deals-as-dairy-sector-consolidates-20170615-gws0wi,,,,,,,,
